timestamp,open,high,low,close,volume,FGI,catigorization 
01/02/2018,10285.1,10335,8750.99,9224.52,33564.76431,30,Fear
02/02/2018,9224.52,9250,8010.02,8873.03,49971.62698,15,Extreme Fear
03/02/2018,8873.03,9473.01,8229,9199.96,28725.00074,40,Fear
04/02/2018,9199.96,9368,7930,8184.81,32014.30845,24,Extreme Fear
05/02/2018,8179.99,8382.8,6625,6939.99,63403.18258,11,Extreme Fear
06/02/2018,6939.63,7878,6000.01,7652.14,100201.5003,8,Extreme Fear
07/02/2018,7655.02,8476,7150.01,7599,60778.4605,36,Fear
08/02/2018,7599,7844,7572.09,7784.02,1521.537318,30,Fear
09/02/2018,7789.9,8738,7789.9,8683.92,20482.91083,44,Fear
10/02/2018,8683.93,9065.78,8120,8533.98,49381.51265,54,Neutral
11/02/2018,8533.99,8549,7726.53,8063.88,45025.18795,31,Fear
12/02/2018,8063.82,8989,8053,8903,41987.85049,42,Fear
13/02/2018,8903,8950,8351,8539.9,35454.97296,35,Fear
14/02/2018,8535.17,9489.6,8533,9449.99,40811.95287,55,Greed
15/02/2018,9449.98,10219.5,9301.5,10000.09,52427.59672,71,Greed
16/02/2018,10000.89,10323.37,9666,10159.98,38161.20597,67,Greed
17/02/2018,10156.07,11075.07,10050,11039.55,41882.10841,74,Greed
18/02/2018,11039.55,11274,10080,10383.43,61137.38073,63,Greed
19/02/2018,10375.01,11250,10270.33,11153,40831.41713,67,Greed
20/02/2018,11147.11,11786.01,11100.59,11200.99,48153.35429,74,Greed
21/02/2018,11195.07,11304.03,10200,10437.6,68113.81875,54,Neutral
22/02/2018,10439.02,10933.44,9679,9811.04,67060.16648,44,Fear
23/02/2018,9815.55,10435,9570.19,10131.04,57202.70237,39,Fear
24/02/2018,10131.04,10496.97,9352,9694.51,40888.1563,31,Fear
25/02/2018,9694.51,9847,9274.8,9590,28373.51759,33,Fear
26/02/2018,9590,10444.32,9350,10324,34878.29276,37,Fear
27/02/2018,10321,10870,10121,10569.04,30705.38512,44,Fear
28/02/2018,10584.33,11098,10300,10326.76,30800.98378,41,Fear
01/03/2018,10325.64,11060.41,10240,10920,25092.55393,38,Fear
02/03/2018,10923.36,11200,10770,11039,23910.71009,47,Neutral
03/03/2018,11038.99,11544,11015.01,11464.48,21287.15328,56,Greed
04/03/2018,11464.47,11565,11050.02,11515,17295.91865,44,Fear
05/03/2018,11515,11710,11415.01,11454,15144.23106,55,Greed
06/03/2018,11455,11455,10555.48,10716.48,29515.57236,59,Greed
07/03/2018,10716.48,10899,9389.31,9910,50647.67108,37,Fear
08/03/2018,9910,10099,9060,9271.64,41109.47323,39,Fear
09/03/2018,9267.07,9410,8329,9227,64112.29141,37,Fear
10/03/2018,9230,9490,8667.07,8770.22,37180.01286,39,Fear
11/03/2018,8770.22,9740,8450,9533.57,44325.97339,40,Fear
12/03/2018,9533.57,9888.88,8780,9131.34,42230.77793,41,Fear
13/03/2018,9131.34,9474,8823,9150,40191.40936,41,Fear
14/03/2018,9151.92,9333.78,7900.28,8170,49708.09411,40,Fear
15/03/2018,8184.01,8430,7650,8240.98,52291.02228,32,Fear
16/03/2018,8240.98,8611.64,7900,8260,38815.40989,33,Fear
17/03/2018,8260,8348.62,7721.99,7824.8,33110.20633,31,Fear
18/03/2018,7824.01,8317.4,7322,8189.99,59488.23171,29,Fear
19/03/2018,8189,8705.23,8088.4,8600,55297.08494,29,Fear
20/03/2018,8595.01,9050,8280,8909.98,44865.10584,37,Fear
21/03/2018,8909.96,9177.01,8750.6,8885,39972.40537,36,Fear
22/03/2018,8884.82,9100,8465.1,8722.9,40617.55681,36,Fear
23/03/2018,8720,8909,8269,8898.03,39991.00767,28,Fear
24/03/2018,8898.04,8999.95,8491,8546.86,35466.60957,32,Fear
25/03/2018,8531.25,8669.85,8365.77,8470.15,29001.76932,30,Fear
26/03/2018,8470.14,8514.89,7831,8134.23,44033.59566,31,Fear
27/03/2018,8134.22,8215.94,7730,7795.51,37427.64805,24,Extreme Fear
28/03/2018,7795.51,8109,7728,7949.3,26401.33167,24,Extreme Fear
29/03/2018,7949.3,7975,6941.11,7090.14,54620.91513,18,Extreme Fear
30/03/2018,7090.16,7292.43,6600.1,6840.23,65306.03198,12,Extreme Fear
31/03/2018,6840.24,7223.36,6777,6923.91,36868.53909,16,Extreme Fear
01/04/2018,6922,7049.98,6430,6813.01,44071.43046,16,Extreme Fear
02/04/2018,6813.01,7125,6765,7056,32123.56007,11,Extreme Fear
03/04/2018,7063.97,7520,7011.01,7405.21,37787.33181,22,Extreme Fear
04/04/2018,7405.21,7427.52,6707,6796.1,42227.1838,22,Extreme Fear
05/04/2018,6796.1,6902,6566.69,6770.76,39029.73146,17,Extreme Fear
06/04/2018,6770,6850,6500,6601.39,27455.01192,19,Extreme Fear
07/04/2018,6601.39,7070,6586.28,6895.8,32269.57827,20,Extreme Fear
08/04/2018,6895.81,7109.13,6880,7018,21427.67317,17,Extreme Fear
09/04/2018,7011.04,7185,6611,6782.72,34078.29721,21,Extreme Fear
10/04/2018,6781.55,6890,6656,6843.9,22326.7281,18,Extreme Fear
11/04/2018,6839.56,6990,6787,6953.79,23997.87118,20,Extreme Fear
12/04/2018,6953.78,8012.23,6743.2,7923,64861.59599,18,Extreme Fear
13/04/2018,7922.99,8233.39,7732,7877.41,55044.52315,23,Extreme Fear
17/04/2018,8064.92,8173.7,7825.4,7885.02,32152.60357,26,Fear
18/04/2018,7890.96,8236.43,7868,8173,26969.04457,24,Extreme Fear
19/04/2018,8173.99,8296,8080,8278,27113.84746,25,Extreme Fear
20/04/2018,8273.84,8930,8177.09,8856.98,39795.33749,26,Fear
21/04/2018,8852.12,9035,8565,8915.31,40872.22991,32,Fear
22/04/2018,8915.31,9020.67,8727.68,8787.02,29458.25348,31,Fear
23/04/2018,8785.7,8985,8745,8934.01,25838.11471,28,Fear
24/04/2018,8934,9731.01,8922,9619.99,46268.79011,29,Fear
25/04/2018,9618.96,9759.82,8730,8869.99,81110.03759,64,Greed
26/04/2018,8869.99,9307.48,8651.62,9266,43300.30425,47,Neutral
27/04/2018,9267.03,9395,8889,8915.35,37241.34704,55,Greed
28/04/2018,8915.35,9427.48,8870,9348,34759.62842,54,Neutral
29/04/2018,9348,9570.51,9163.74,9419,38149.85004,61,Greed
30/04/2018,9417.04,9458.64,9124.99,9246.01,35002.03388,59,Greed
01/05/2018,9246.01,9248.99,8800.49,9071.48,41018.46363,56,Greed
02/05/2018,9071.48,9268,8970.2,9247.84,26123.54396,52,Neutral
03/05/2018,9247.81,9844,9168.4,9750,38768.38829,55,Greed
04/05/2018,9750,9830.04,9520.85,9713.99,28681.58888,56,Greed
05/05/2018,9714,10020,9682,9864,24990.01835,63,Greed
06/05/2018,9863.99,9970,9417.03,9659.01,27690.35156,67,Greed
07/05/2018,9661.02,9689.67,9181,9365,33787.64001,56,Greed
08/05/2018,9365,9475.7,9060.54,9187.56,25533.83189,62,Greed
09/05/2018,9178,9390,8965,9310,25673.5249,53,Neutral
10/05/2018,9310,9395.12,8970,9002.2,25055.06372,63,Greed
11/05/2018,9002.21,9016.8,8341,8400,48227.04806,41,Fear
12/05/2018,8405.94,8646.88,8153,8465.94,40241.32081,44,Fear
13/05/2018,8475.44,8763.36,8298,8679.71,25632.86936,40,Fear
14/05/2018,8679.71,8879.99,8277,8663.34,37389.66653,40,Fear
15/05/2018,8663.37,8859.99,8401.3,8462,28126.95614,40,Fear
16/05/2018,8462,8488,8083.01,8330,31130.71891,32,Fear
17/05/2018,8330,8464,7979,8041.46,25439.8448,31,Fear
18/05/2018,8038.82,8273.21,7911.9,8239.81,23476.15825,37,Fear
19/05/2018,8238.01,8390.8,8095.73,8233.49,17193.42428,31,Fear
20/05/2018,8233.49,8609,8163.9,8526.98,19957.05711,32,Fear
21/05/2018,8526.97,8595.31,8305,8381.24,21516.59649,41,Fear
22/05/2018,8386.89,8400.18,7935.11,7977.11,23710.90286,30,Fear
23/05/2018,7977.12,8031.9,7425,7501.95,42910.66677,26,Fear
24/05/2018,7501.95,7730.73,7266.99,7575.01,37845.4466,27,Fear
25/05/2018,7578.99,7649.55,7308.15,7457,26739.95664,25,Extreme Fear
26/05/2018,7456.99,7620,7300,7333.96,19464.08607,23,Extreme Fear
27/05/2018,7334,7400,7231.11,7338.99,18706.94552,19,Extreme Fear
28/05/2018,7338.99,7437,7058.02,7099,27219.43896,22,Extreme Fear
29/05/2018,7099,7540,7032.95,7461.29,39407.21183,16,Extreme Fear
30/05/2018,7467.98,7569,7260.5,7375.96,32041.58362,38,Fear
31/05/2018,7382.07,7699,7327.51,7485.01,30776.0631,25,Extreme Fear
01/06/2018,7485.01,7608.55,7355.54,7521.01,28259.12408,24,Extreme Fear
02/06/2018,7521.01,7697.33,7437,7640.03,26720.69022,27,Fear
03/06/2018,7636.81,7786.69,7600,7714.26,27505.15895,40,Fear
04/06/2018,7714.26,7760.52,7446.5,7487,32258.83512,41,Fear
05/06/2018,7487,7679.49,7358,7625,31722.97338,26,Fear
06/06/2018,7626.64,7699,7467.05,7658.84,27229.9919,42,Fear
07/06/2018,7658.79,7765,7620,7691.08,25062.2272,38,Fear
08/06/2018,7691.08,7703.5,7531,7603.44,23396.80467,40,Fear
09/06/2018,7603.44,7683.98,7450,7491.73,19339.88518,39,Fear
10/06/2018,7491.73,7491.73,6622.81,6764.99,52342.02003,24,Extreme Fear
11/06/2018,6765,6922,6610,6872,34552.1623,15,Extreme Fear
12/06/2018,6872,6890.51,6435,6530,36722.21119,19,Extreme Fear
13/06/2018,6530,6627.6,6118.68,6292.78,46185.5181,19,Extreme Fear
14/06/2018,6292.78,6720,6260,6635.98,44478.13084,17,Extreme Fear
15/06/2018,6638.67,6666.66,6362.31,6388.9,30018.32991,26,Fear
16/06/2018,6380.01,6560,6320.86,6483.98,22277.24115,22,Extreme Fear
17/06/2018,6482.5,6589.03,6422,6449.61,19847.24769,23,Extreme Fear
18/06/2018,6444.06,6794.38,6380,6712.46,31821.435,27,Fear
19/06/2018,6711.39,6841.74,6653,6741.21,24311.42114,32,Fear
20/06/2018,6740,6817.23,6551.81,6761.51,26359.75245,34,Fear
21/06/2018,6763.21,6795,6672.57,6718.84,25428.85405,37,Fear
22/06/2018,6717.69,6733.97,5918.94,6045,52157.37083,28,Fear
23/06/2018,6045.92,6260,6008.48,6149.98,26622.78859,17,Extreme Fear
24/06/2018,6149.98,6259.8,5750,6136.97,47445.99896,15,Extreme Fear
25/06/2018,6137.95,6350,6061.97,6252,39164.51531,16,Extreme Fear
26/06/2018,6252,6272.54,6035,6070.78,19377.24048,21,Extreme Fear
27/06/2018,6065.89,6190.43,5971,6133.73,19225.6711,18,Extreme Fear
28/06/2018,6134.73,6173.01,5827,5853.98,30585.26603,20,Extreme Fear
29/06/2018,5851.01,6300,5780,6197.92,33911.28728,16,Extreme Fear
30/06/2018,6197.92,6528.99,6186.03,6390.07,37919.61284,22,Extreme Fear
01/07/2018,6391.08,6441.06,6251,6356.81,27562.96597,27,Fear
02/07/2018,6360.82,6685,6271.62,6615.29,36230.45226,27,Fear
03/07/2018,6615.29,6679.35,6463.01,6513.86,38657.78169,31,Fear
04/07/2018,6511.01,6784.92,6441.11,6586.98,23571.89278,33,Fear
05/07/2018,6585.53,6712,6453.33,6529.2,35071.9729,37,Fear
